Thread,Input,Output,Active Cycles,Work Score,Utilization (%)
0,959,613303,1507,87.26,0.33
1,1062,398693183,1366,79.10,0.30
2,332,73309,428,24.78,0.09
3,528,48926908,756,43.78,0.16
4,302,60645,390,22.58,0.08
5,529,141168,833,48.23,0.18
6,443,130729,635,36.77,0.14
7,473,149041,677,39.20,0.15
8,793,315953,1135,65.72,0.25
9,844,358158,1328,76.90,0.29
10,173,19912,248,14.36,0.05
11,806,432553,922,53.39,0.20
12,953,605248,1364,78.98,0.30
13,178,16184,256,14.82,0.06
14,1043,724984,1490,86.28,0.32
15,594,69685719,934,54.08,0.20
16,790,313235,790,45.74,0.17
17,472,112165,608,35.21,0.13
18,566,213193,647,37.46,0.14
19,224,33493,352,20.38,0.08
20,1099,606489,1727,100.00,0.38
21,999,331836357,1571,90.97,0.34
22,724,263796,1140,66.01,0.25
23,639,86768871,1007,58.31,0.22
24,978,311336125,1398,80.95,0.30
25,960,294451360,960,55.59,0.21
26,338,76084,485,28.08,0.11
27,795,167170745,795,46.03,0.17
28,596,236413,682,39.49,0.15
29,164,17965,260,15.06,0.06
30,1014,347017189,1594,92.30,0.35
31,456,31502380,522,30.23,0.11
32,126,658875,144,8.34,0.03
33,598,179954,856,49.57,0.19
34,236,36973,270,15.63,0.06
35,681,105041980,779,45.11,0.17
36,1028,704278,1469,85.06,0.33
37,931,434775,1064,61.61,0.24
38,1054,557943,1658,96.00,0.37
39,721,261000,824,47.71,0.18
40,675,102287925,675,39.09,0.15
41,127,8271,165,9.55,0.04
42,427,91863,549,31.79,0.12
43,528,48926908,756,43.78,0.17
44,557,206541,717,41.52,0.16
45,370,69005,370,21.42,0.08
46,374,93325,590,34.16,0.13
47,248,40945,356,20.61,0.08
48,1094,798103,1722,99.71,0.38
49,192,2340924,248,14.36,0.06
50,372,17090540,480,27.79,0.11
51,445,99680,445,25.77,0.10
52,444,29078018,700,40.53,0.16
53,996,328853470,1139,65.95,0.25
54,985,486590,985,57.04,0.22
55,674,302983,1062,61.49,0.24
56,857,489184,1103,63.87,0.25
57,575,220033,575,33.29,0.13
58,369,16680102,581,33.64,0.13
59,353,82990,506,29.30,0.11
60,639,86768871,1007,58.31,0.23
61,635,268393,635,36.77,0.14
62,1061,749773,1213,70.24,0.27
63,1017,350107142,1309,75.80,0.29
64,134,12001,214,12.39,0.05
65,197,25770,255,14.77,0.06
66,598,179954,856,49.57,0.19
67,1062,398693183,1366,79.10,0.31
68,381,18362930,436,25.25,0.10
69,905,545413,905,52.40,0.20
70,683,310831,977,56.57,0.22
71,308,63169,440,25.48,0.10
72,284,53827,448,25.94,0.10
73,362,87173,466,26.98,0.11
74,1089,429897480,1713,99.19,0.39
75,742,276498,954,55.24,0.21
76,984,317104850,1548,89.64,0.35
77,715,256685,715,41.40,0.16
78,890,527473,890,51.53,0.20
79,979,481527,1539,89.11,0.35
80,808,327989,1156,66.94,0.26
81,514,133311,810,46.90,0.18
82,676,229500,773,44.76,0.17
83,504,42548196,792,45.86,0.18
84,410,111793,410,23.74,0.09
85,913,418544,1306,75.62,0.29
86,1078,583118,1540,89.17,0.35
87,519,46465309,819,47.42,0.18
88,388,76019,556,32.19,0.13
89,347,80091,447,25.88,0.10
90,125,10333,125,7.24,0.03
91,279,7200579,439,25.42,0.10
92,883,391547,1264,73.19,0.28
93,1086,426351835,1242,71.92,0.28
94,549,55006248,865,50.09,0.19
95,917,560112,1179,68.27,0.27
96,536,191173,613,35.50,0.14
97,1047,382029161,1347,78.00,0.30
98,231,4082155,264,15.29,0.06
99,817,335084,1051,60.86,0.24
100,204,2809294,324,18.76,0.07
101,166,14025,190,11.00,0.04
102,1025,699733,1025,59.35,0.23
103,389,100957,613,35.50,0.14
104,428,122023,614,35.55,0.14
105,1014,347017189,1594,92.30,0.36
106,1031,707953,1179,68.27,0.26
107,312,10075201,402,23.28,0.09
108,982,483773,1264,73.19,0.28
109,173,19912,248,14.36,0.06
110,543,53220569,777,44.99,0.17
111,690,109265065,690,39.95,0.15
112,587,229405,755,43.72,0.17
113,120,568820,120,6.95,0.03
114,1094,798103,1722,99.71,0.39
115,897,240176065,1155,66.88,0.26
116,933,270287392,1335,77.30,0.30
117,424,90888,668,38.68,0.15
118,669,99583010,1053,60.97,0.24
119,574,166089,902,52.23,0.20
120,671,299713,767,44.41,0.17
121,694,242457,1094,63.35,0.24
122,105,380380,105,6.08,0.02
123,454,104127,714,41.34,0.16
124,680,307813,680,39.37,0.15
125,554,204721,874,50.61,0.20
126,623,258604,890,51.53,0.20
127,116,8893,133,7.70,0.03
128,854,486373,1342,77.71,0.31
129,754,286035,1186,68.67,0.27
130,185,22693,185,10.71,0.04
131,958,460727,1369,79.27,0.32
132,820,337430,820,47.48,0.19
133,111,449735,127,7.35,0.03
134,599,239317,943,54.60,0.22
135,148,11237,214,12.39,0.05
136,377,94555,485,28.08,0.11
137,530,186913,530,30.69,0.12
138,713,338743,1019,59.00,0.23
139,259,34149,407,23.57,0.09
140,955,457445,955,55.30,0.22
141,156,1253330,179,10.36,0.04
142,201,2686700,230,13.32,0.05
143,442,98406,570,33.01,0.13
144,176,20533,202,11.70,0.05
145,547,150501,705,40.82,0.16
146,592,176202,762,44.12,0.18
147,1010,679393,1010,58.48,0.23
148,871,380625,996,57.67,0.23
149,161,17173,184,10.65,0.04
150,484,118272,764,44.24,0.18
151,795,167170745,795,46.03,0.18
152,755,379513,755,43.72,0.17
153,489,38857664,769,44.53,0.18
