Index,Input
0,111
1,110
2,125
3,120
4,105
5,110
6,100
7,148
8,158
9,158
10,185
11,211
12,148
13,156
14,201
15,176
16,161
17,149
18,235
19,159
20,154
21,123
22,170
23,141
24,130
25,152
26,250
27,173
28,186
29,173
30,197
31,161
32,182
33,126
34,168
35,127
36,197
37,112
38,192
39,191
40,156
41,116
42,119
43,151
44,138
45,162
46,124
47,245
48,151
49,170
50,128
51,171
52,134
53,197
54,166
55,173
56,116
57,116
58,210
59,176
60,130
61,132
62,167
63,160
64,155
65,149
66,103
67,158
68,150
69,109
70,118
71,151
72,132
73,216
74,163
75,104
76,176
77,117
78,145
79,210
80,131
81,103
82,159
83,155
84,171
85,119
86,171
87,177
88,205
89,128
90,215
91,221
92,210
93,167
94,161
95,127
96,185
97,206
98,163
99,117
100,164
101,289
102,203
103,291
104,436
105,377
106,416
107,259
108,282
109,296
110,233
111,311
112,480
113,238
114,360
115,385
116,381
117,420
118,450
119,326
120,178
121,381
122,386
123,386
124,260
125,293
126,174
127,332
128,232
129,302
130,293
131,178
132,248
133,224
134,289
135,365
136,338
137,300
138,300
139,164
140,227
141,336
142,365
143,290
144,310
145,310
146,304
147,386
148,317
149,335
150,401
151,269
152,362
153,236
154,275
155,370
156,280
157,290
158,248
159,372
160,308
161,372
162,345
163,356
164,315
165,445
166,174
167,455
168,272
169,353
170,198
171,267
172,307
173,310
174,338
175,183
176,331
177,351
178,289
179,319
180,288
181,278
182,315
183,381
184,291
185,308
186,357
187,284
188,219
189,362
190,285
191,410
192,316
193,347
194,184
195,279
196,305
197,317
198,410
199,231
200,204
201,312
202,198
203,391
204,380
205,387
206,233
207,470
208,350
209,470
210,251
211,237
212,282
213,460
214,405
215,199
216,239
217,485
218,219
219,207
220,311
221,313
222,270
223,332
224,346
225,372
226,287
227,475
228,318
229,212
230,301
231,366
232,310
233,343
234,332
235,208
236,500
237,370
238,505
239,372
240,318
241,391
242,385
243,266
244,327
245,308
246,416
247,232
248,286
249,480
250,316
251,315
252,426
253,241
254,274
255,244
256,243
257,342
258,319
259,189
260,239
261,320
262,203
263,375
264,237
265,279
266,341
267,259
268,227
269,219
270,396
271,174
272,406
273,362
274,276
275,505
276,410
277,288
278,287
279,273
280,426
281,233
282,199
283,253
284,401
285,219
286,273
